,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
7760,Choi Hyo Jin,33,https://cdn.sofifa.org/48/18/players/165903.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,67,67,Jeonnam Dragons,https://cdn.sofifa.org/24/18/teams/1475.png,€290K,€4K,1853,77,66,74,80,65,60,67,57,69,54,49,6,16,11,7,11,49,76,78,63,60,63,51,68,70,67,62,61,64,61,64,73,57,57,65.0,66.0,66.0,65.0,65.0,165903,65.0,66.0,66.0,65.0,66.0,65.0,66.0,63.0,66.0,67.0,RM RB ,65.0,66.0,66.0,65.0,66.0,65.0,66.0,63.0,66.0,67.0,63.0
7761,R. Maeda,35,https://cdn.sofifa.org/48/18/players/199184.png,Japan,https://cdn.sofifa.org/flags/163.png,67,67,F.C. Tokyo,https://cdn.sofifa.org/24/18/teams/101150.png,€350K,€6K,1768,34,67,78,51,66,65,51,63,65,67,65,9,13,11,11,7,69,59,72,64,63,45,67,70,66,69,65,44,55,54,43,80,64,61,65.0,58.0,59.0,64.0,64.0,199184,65.0,54.0,58.0,64.0,59.0,64.0,61.0,66.0,62.0,55.0,ST ,65.0,54.0,58.0,64.0,59.0,64.0,61.0,66.0,62.0,55.0,66.0
7762,F. Hartherz,24,https://cdn.sofifa.org/48/18/players/202512.png,Germany,https://cdn.sofifa.org/flags/21.png,67,71,DSC Arminia Bielefeld,https://cdn.sofifa.org/24/18/teams/159.png,€825K,€4K,1799,74,73,62,56,66,59,70,59,60,34,56+11,14,10,14,9,9,67,60,65,62,58,57,44,49,66,66,73,62,77,77,66,82,52,50,59.0,66.0,65.0,59.0,62.0,202512,59.0,66.0,66.0,62.0,65.0,59.0,63.0,60.0,61.0,67.0,LM LB ,59.0,66.0,66.0,62.0,65.0,59.0,63.0,60.0,61.0,67.0,60.0
7763,A. Bellinghausen,34,https://cdn.sofifa.org/48/18/players/166928.png,Germany,https://cdn.sofifa.org/flags/21.png,67,67,Fortuna Düsseldorf,https://cdn.sofifa.org/24/18/teams/110636.png,€375K,€16K,1905,67,84,62,62,64,70,70,70,65,53,63,7,12,14,10,12,58,62,71,63,62,60,58,65,69,66,70,68,76,81,67,71,64,59,64.0,66.0,67.0,65.0,66.0,166928,64.0,68.0,66.0,66.0,67.0,65.0,66.0,64.0,65.0,68.0,LB LM ,64.0,68.0,66.0,66.0,67.0,65.0,66.0,64.0,65.0,68.0,64.0
7764,A. Frara,34,https://cdn.sofifa.org/48/18/players/101904.png,Italy,https://cdn.sofifa.org/flags/27.png,67,67,Frosinone,https://cdn.sofifa.org/24/18/teams/111657.png,€375K,€3K,1700,55,68,70,70,66,72,47,53,64,33,58,10,14,6,15,8,48,70,64,66,70,41,53,59,68,67,63,36,55,72,66,58,64,43,62.0,57.0,63.0,60.0,66.0,101904,62.0,57.0,57.0,66.0,63.0,60.0,60.0,55.0,59.0,59.0,CM ,62.0,57.0,57.0,66.0,63.0,60.0,60.0,55.0,59.0,59.0,55.0
7765,Heliardo,25,https://cdn.sofifa.org/48/18/players/234512.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,70,Tondela,https://cdn.sofifa.org/24/18/teams/112516.png,€975K,€4K,1497,58,79,57,40,64,69,43,43,54,68,26,6,8,7,11,9,72,22,51,40,53,13,63,68,68,56,76,18,51,72,12,84,45,60,57.0,41.0,43.0,61.0,52.0,234512,57.0,40.0,41.0,52.0,43.0,61.0,57.0,66.0,58.0,43.0,ST ,57.0,40.0,41.0,52.0,43.0,61.0,57.0,66.0,58.0,43.0,66.0
7766,S. Díaz,19,https://cdn.sofifa.org/48/18/players/235024.png,Paraguay,https://cdn.sofifa.org/flags/58.png,67,81,CD Lugo,https://cdn.sofifa.org/24/18/teams/110831.png,€1.6M,€42K,1675,68,33,72,78,73,61,62,70,72,71,73,13,6,10,11,14,53,22,35,58,70,29,57,68,63,61,71,37,63,57,32,36,69,68,68.0,39.0,47.0,68.0,62.0,235024,68.0,48.0,39.0,62.0,47.0,68.0,66.0,66.0,68.0,51.0,ST ,68.0,48.0,39.0,62.0,47.0,68.0,66.0,66.0,68.0,51.0,66.0
7767,B. McKay,28,https://cdn.sofifa.org/48/18/players/193552.png,Northern Ireland,https://cdn.sofifa.org/flags/35.png,67,67,Ross County FC,https://cdn.sofifa.org/24/18/teams/631.png,€800K,€6K,1726,76,53,86,85,66,73,47,33,65,63,40,13,7,8,16,9,64,36,75,51,61,16,75,64,66,59,73,37,70,73,38,73,62,66,64.0,47.0,50.0,65.0,59.0,193552,64.0,50.0,47.0,59.0,50.0,65.0,63.0,66.0,64.0,52.0,ST ,64.0,50.0,47.0,59.0,50.0,65.0,63.0,66.0,64.0,52.0,66.0
7768,N. Larsen,26,https://cdn.sofifa.org/48/18/players/200209.png,Denmark,https://cdn.sofifa.org/flags/13.png,67,70,FC Nordsjælland,https://cdn.sofifa.org/24/18/teams/1788.png,€675K,€7K,1069,39,16,35,28,19,30,12,16,14,11,12,67,65,60,68,66,13,20,57,27,13,15,19,12,67,44,22,10,48,33,11,70,48,12,,,,,,200209,,,,,,,,,,,GK ,,,,,,,,,,,
7769,F. Kiss,26,https://cdn.sofifa.org/48/18/players/205073.png,Slovakia,https://cdn.sofifa.org/flags/43.png,67,69,Ettifaq FC,https://cdn.sofifa.org/24/18/teams/112096.png,€900K,€10K,1774,53,81,59,68,67,61,44,53,65,55,39,7,8,13,10,14,62,64,66,67,63,61,63,53,67,68,67,66,41,81,70,76,64,39,63.0,67.0,68.0,61.0,66.0,205073,63.0,63.0,67.0,66.0,68.0,61.0,61.0,60.0,59.0,63.0,CDM CM ,63.0,63.0,67.0,66.0,68.0,61.0,61.0,60.0,59.0,63.0,60.0
7770,A. Al Ghamdi,22,https://cdn.sofifa.org/48/18/players/213009.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,67,73,Al Ittihad,https://cdn.sofifa.org/24/18/teams/607.png,€1.1M,€21K,1723,74,55,79,76,63,68,58,68,66,65,69,10,8,10,8,15,62,34,72,54,61,11,64,68,65,63,66,20,76,69,15,74,62,63,65.0,41.0,46.0,66.0,59.0,213009,65.0,46.0,41.0,59.0,46.0,66.0,65.0,66.0,66.0,49.0,CAM LM RM ST ,65.0,46.0,41.0,59.0,46.0,66.0,65.0,66.0,66.0,49.0,66.0
7771,H. Maïga,21,https://cdn.sofifa.org/48/18/players/236817.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,67,79,AS Saint-Étienne,https://cdn.sofifa.org/24/18/teams/1819.png,€1.2M,€13K,1728,72,65,59,68,66,59,54,51,63,43,40,8,8,10,15,10,56,68,64,61,60,65,55,40,62,69,58,60,73,72,66,71,57,39,60.0,65.0,66.0,59.0,62.0,236817,60.0,65.0,65.0,62.0,66.0,59.0,61.0,56.0,60.0,65.0,LB CDM ,60.0,65.0,65.0,62.0,66.0,59.0,61.0,56.0,60.0,65.0,56.0
7772,V. Eicher,26,https://cdn.sofifa.org/48/18/players/200466.png,Germany,https://cdn.sofifa.org/flags/21.png,67,70,1. FC Heidenheim,https://cdn.sofifa.org/24/18/teams/111235.png,€675K,€8K,1065,46,37,48,31,24,43,12,12,12,15,15,67,66,61,67,69,12,23,67,19,14,11,14,12,56,25,18,12,44,36,15,72,13,20,,,,,,200466,,,,,,,,,,,GK ,,,,,,,,,,,
7773,J. Lozano,32,https://cdn.sofifa.org/48/18/players/207634.png,Colombia,https://cdn.sofifa.org/flags/56.png,67,67,Atlético Huila,https://cdn.sofifa.org/24/18/teams/112528.png,€450K,€1K,1379,51,87,42,50,43,53,23,28,40,26,30,10,15,7,12,15,72,69,54,45,30,67,45,28,55,38,41,62,46,44,66,78,33,27,39.0,66.0,56.0,39.0,43.0,207634,39.0,54.0,66.0,43.0,56.0,39.0,39.0,43.0,38.0,50.0,CB ,39.0,54.0,66.0,43.0,56.0,39.0,39.0,43.0,38.0,50.0,43.0
7774,F. Antunes,25,https://cdn.sofifa.org/48/18/players/229138.png,France,https://cdn.sofifa.org/flags/18.png,67,70,Sint-Truidense VV,https://cdn.sofifa.org/24/18/teams/680.png,€800K,€7K,1683,67,68,62,62,66,59,68,54,64,29,47,13,11,8,12,11,54,62,68,59,45,66,46,41,67,64,47,64,72,70,65,68,47,36,57.0,64.0,64.0,55.0,59.0,229138,57.0,66.0,64.0,59.0,64.0,55.0,60.0,52.0,58.0,66.0,LB ,57.0,66.0,64.0,59.0,64.0,55.0,60.0,52.0,58.0,66.0,52.0
7775,D. Cox,29,https://cdn.sofifa.org/48/18/players/178194.png,England,https://cdn.sofifa.org/flags/14.png,67,67,Crawley Town,https://cdn.sofifa.org/24/18/teams/110890.png,€750K,€7K,1690,72,57,73,91,65,64,68,64,67,62,66,1,1,1,1,1,44,21,83,64,66,26,60,64,57,64,63,18,74,77,22,70,68,59,65.0,40.0,48.0,65.0,61.0,178194,65.0,46.0,40.0,61.0,48.0,65.0,66.0,62.0,66.0,50.0,CAM LM ,65.0,46.0,40.0,61.0,48.0,65.0,66.0,62.0,66.0,50.0,62.0
7776,S. Heidinger,31,https://cdn.sofifa.org/48/18/players/191250.png,Germany,https://cdn.sofifa.org/flags/21.png,67,67,Holstein Kiel,https://cdn.sofifa.org/24/18/teams/576.png,€500K,€8K,1857,76,72,75,80,64,58,67,60,66,57,62,7,11,8,9,9,49,66,69,63,61,66,49,57,62,63,77,65,73,75,67,64,59,49,63.0,64.0,65.0,63.0,63.0,191250,63.0,66.0,64.0,63.0,65.0,63.0,65.0,62.0,64.0,67.0,RM LB RB ,63.0,66.0,64.0,63.0,65.0,63.0,65.0,62.0,64.0,67.0,62.0
7777,D. Lafferty,28,https://cdn.sofifa.org/48/18/players/201491.png,Northern Ireland,https://cdn.sofifa.org/flags/35.png,67,67,Sheffield United,https://cdn.sofifa.org/24/18/teams/1794.png,€600K,€24K,1775,75,61,72,65,64,50,61,62,65,50,53,9,15,8,11,9,59,62,73,61,63,63,45,59,57,63,59,67,75,79,66,62,45,37,60.0,63.0,63.0,60.0,61.0,201491,60.0,66.0,63.0,61.0,63.0,60.0,63.0,60.0,62.0,66.0,LWB LB ,60.0,66.0,63.0,61.0,63.0,60.0,63.0,60.0,62.0,66.0,60.0
7778,Pedro Chirivella,20,https://cdn.sofifa.org/48/18/players/224019.png,Spain,https://cdn.sofifa.org/flags/45.png,67,76,Willem II,https://cdn.sofifa.org/24/18/teams/1907.png,€1M,€34K,1717,66,60,74,64,67,74,52,55,65,40,48,13,14,12,8,14,55,68,47,63,40,57,49,53,64,74,62,64,67,73,61,62,66,40,63.0,62.0,66.0,61.0,65.0,224019,63.0,64.0,62.0,65.0,66.0,61.0,63.0,57.0,61.0,65.0,CM CDM ,63.0,64.0,62.0,65.0,66.0,61.0,63.0,57.0,61.0,65.0,57.0
7779,Lee Keun Ho,32,https://cdn.sofifa.org/48/18/players/176403.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,67,67,Gangwon FC,https://cdn.sofifa.org/24/18/teams/112115.png,€600K,€5K,1761,69,53,77,73,66,67,59,61,63,65,56,6,15,13,15,6,64,54,67,58,61,38,62,66,68,63,64,33,77,59,35,78,62,55,65.0,52.0,55.0,65.0,61.0,176403,65.0,54.0,52.0,61.0,55.0,65.0,64.0,66.0,65.0,55.0,RM ST ,65.0,54.0,52.0,61.0,55.0,65.0,64.0,66.0,65.0,55.0,66.0
7780,J. Gyau,24,https://cdn.sofifa.org/48/18/players/207892.png,United States,https://cdn.sofifa.org/flags/95.png,67,70,SG Sonnenhof Großaspach,https://cdn.sofifa.org/24/18/teams/111379.png,€975K,€1K,1716,91,54,86,83,65,70,61,63,68,55,45,12,6,15,15,6,40,25,78,50,58,34,51,64,68,61,63,34,91,76,31,63,51,53,64.0,44.0,49.0,65.0,57.0,207892,64.0,52.0,44.0,57.0,49.0,65.0,66.0,62.0,67.0,55.0,RW LW ,64.0,52.0,44.0,57.0,49.0,65.0,66.0,62.0,67.0,55.0,62.0
7781,A. Seck,25,https://cdn.sofifa.org/48/18/players/217620.png,Senegal,https://cdn.sofifa.org/flags/136.png,67,71,Sandefjord Fotball,https://cdn.sofifa.org/24/18/teams/1757.png,€825K,€3K,1597,69,84,56,65,54,68,22,28,54,36,29,14,15,11,15,13,66,66,83,38,51,58,46,23,60,57,56,54,77,76,62,90,43,26,50.0,66.0,60.0,50.0,51.0,217620,50.0,59.0,66.0,51.0,60.0,50.0,50.0,52.0,49.0,57.0,CB ,50.0,59.0,66.0,51.0,60.0,50.0,50.0,52.0,49.0,57.0,52.0
7782,D. Mesenhöler,21,https://cdn.sofifa.org/48/18/players/222484.png,Germany,https://cdn.sofifa.org/flags/21.png,67,77,1. FC Union Berlin,https://cdn.sofifa.org/24/18/teams/1831.png,€950K,€10K,1107,50,21,34,50,21,28,18,18,12,15,15,68,71,57,63,66,14,21,70,25,18,16,23,17,66,32,19,12,48,32,20,63,15,17,,,,,,222484,,,,,,,,,,,GK ,,,,,,,,,,,
7783,Oh Beom Seok,32,https://cdn.sofifa.org/48/18/players/165908.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,67,67,Gangwon FC,https://cdn.sofifa.org/24/18/teams/112115.png,€425K,€4K,1796,69,71,68,66,61,60,58,52,61,43,51,13,10,8,11,6,56,68,76,58,52,61,67,59,72,65,52,64,81,63,69,85,61,39,62.0,68.0,66.0,61.0,62.0,165908,62.0,66.0,68.0,62.0,66.0,61.0,62.0,59.0,61.0,65.0,CB CM CDM RB ,62.0,66.0,68.0,62.0,66.0,61.0,62.0,59.0,61.0,65.0,59.0
7784,A. Guliev,21,https://cdn.sofifa.org/48/18/players/237844.png,Russia,https://cdn.sofifa.org/flags/40.png,67,78,FC Anzhi Makhachkala,https://cdn.sofifa.org/24/18/teams/100766.png,€1.3M,€24K,1799,78,60,81,87,65,55,67,42,68,58,55,15,8,12,13,8,51,56,59,69,55,59,51,55,65,74,59,64,71,67,63,51,66,47,66.0,60.0,64.0,64.0,66.0,237844,66.0,65.0,60.0,66.0,64.0,64.0,67.0,61.0,66.0,66.0,CDM CM ,66.0,65.0,60.0,66.0,64.0,64.0,67.0,61.0,66.0,66.0,61.0
7785,S. Grippo,28,https://cdn.sofifa.org/48/18/players/177684.png,Switzerland,https://cdn.sofifa.org/flags/47.png,67,69,Real Zaragoza,https://cdn.sofifa.org/24/18/teams/244.png,€725K,€7K,1755,58,79,57,52,60,62,53,55,52,48,54,13,8,9,12,8,68,66,75,62,58,60,56,61,61,64,60,53,61,76,65,82,60,49,59.0,66.0,65.0,58.0,62.0,177684,59.0,62.0,66.0,62.0,65.0,58.0,59.0,59.0,57.0,61.0,CDM CB ,59.0,62.0,66.0,62.0,65.0,58.0,59.0,59.0,57.0,61.0,59.0
7786,K. Al Ghamdi,29,https://cdn.sofifa.org/48/18/players/208917.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,67,67,Al Nassr,https://cdn.sofifa.org/24/18/teams/112139.png,€575K,€21K,1707,84,73,86,77,66,65,65,55,65,27,34,16,9,16,14,9,59,62,62,60,25,64,34,61,65,68,28,62,83,71,60,64,58,25,61.0,64.0,64.0,58.0,61.0,208917,61.0,66.0,64.0,61.0,64.0,58.0,65.0,53.0,62.0,67.0,RB ,61.0,66.0,64.0,61.0,64.0,58.0,65.0,53.0,62.0,67.0,53.0
7787,S. Ojo,20,https://cdn.sofifa.org/48/18/players/224021.png,England,https://cdn.sofifa.org/flags/14.png,67,83,Fulham,https://cdn.sofifa.org/24/18/teams/144.png,€1.7M,€38K,1601,82,40,74,67,64,56,58,52,72,63,50,12,10,6,10,16,44,28,38,58,56,24,66,63,59,68,56,32,85,56,33,62,53,44,65.0,41.0,47.0,65.0,58.0,224021,65.0,49.0,41.0,58.0,47.0,65.0,66.0,62.0,66.0,52.0,LM ,65.0,49.0,41.0,58.0,47.0,65.0,66.0,62.0,66.0,52.0,62.0
7788,Ramon Lopes,27,https://cdn.sofifa.org/48/18/players/232469.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,67,Kashiwa Reysol,https://cdn.sofifa.org/24/18/teams/101145.png,€825K,€9K,1663,64,40,71,50,70,60,57,53,69,65,50,8,9,13,13,13,68,29,58,58,64,36,56,63,64,63,62,32,64,72,27,81,62,59,65.0,46.0,50.0,65.0,61.0,232469,65.0,50.0,46.0,61.0,50.0,65.0,65.0,66.0,65.0,52.0,ST ,65.0,50.0,46.0,61.0,50.0,65.0,65.0,66.0,65.0,52.0,66.0
7789,Paulo Lopes,39,https://cdn.sofifa.org/48/18/players/53525.png,Portugal,https://cdn.sofifa.org/flags/38.png,67,67,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€50K,€3K,1120,38,30,55,56,14,39,14,17,17,12,11,67,73,57,67,64,12,18,75,33,9,14,20,10,60,32,18,19,43,32,15,68,36,14,,,,,,53525,,,,,,,,,,,GK ,,,,,,,,,,,
7790,S. Franklin,32,https://cdn.sofifa.org/48/18/players/186645.png,United States,https://cdn.sofifa.org/flags/95.png,67,67,D.C. United,https://cdn.sofifa.org/24/18/teams/688.png,€425K,€5K,1831,74,70,66,71,59,63,63,61,63,50,62,9,15,15,12,16,61,64,73,55,55,65,53,61,63,65,71,63,77,73,64,69,55,38,61.0,65.0,63.0,62.0,61.0,186645,61.0,66.0,65.0,61.0,63.0,62.0,63.0,61.0,62.0,66.0,CB RB ,61.0,66.0,65.0,61.0,63.0,62.0,63.0,61.0,62.0,66.0,61.0
7791,D. Moxey,31,https://cdn.sofifa.org/48/18/players/188181.png,England,https://cdn.sofifa.org/flags/14.png,67,67,Exeter City,https://cdn.sofifa.org/24/18/teams/143.png,€500K,€8K,1719,74,65,69,64,62,61,73,53,64,54,39,6,8,8,9,9,60,65,60,57,60,64,39,44,63,61,57,65,62,73,66,68,54,44,59.0,64.0,63.0,59.0,60.0,188181,59.0,66.0,64.0,60.0,63.0,59.0,62.0,58.0,61.0,66.0,LB ,59.0,66.0,64.0,60.0,63.0,59.0,62.0,58.0,61.0,66.0,58.0
7792,H. Olvera,27,https://cdn.sofifa.org/48/18/players/190485.png,Mexico,https://cdn.sofifa.org/flags/83.png,67,68,Lobos de la BUAP,https://cdn.sofifa.org/24/18/teams/111035.png,€700K,€5K,1701,72,61,62,69,66,30,70,69,55,48,26,9,8,9,8,12,50,67,80,55,51,70,35,40,49,64,48,69,69,66,69,68,60,47,58.0,65.0,64.0,56.0,59.0,190485,58.0,66.0,65.0,59.0,64.0,56.0,60.0,53.0,59.0,66.0,LB ,58.0,66.0,65.0,59.0,64.0,56.0,60.0,53.0,59.0,66.0,53.0
7793,Wander,30,https://cdn.sofifa.org/48/18/players/221462.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,67,Al Raed,https://cdn.sofifa.org/24/18/teams/112392.png,€725K,€13K,1610,68,33,72,73,71,61,49,59,74,55,60,15,15,12,7,15,51,24,55,65,54,19,55,59,62,69,67,21,60,67,22,57,66,59,66.0,37.0,47.0,65.0,62.0,221462,66.0,44.0,37.0,62.0,47.0,65.0,65.0,61.0,64.0,48.0,CM CAM ,66.0,44.0,37.0,62.0,47.0,65.0,65.0,61.0,64.0,48.0,61.0
7794,Fepe Avedo,29,https://cdn.sofifa.org/48/18/players/230166.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,67,Clube Atlético Paranaense,https://cdn.sofifa.org/24/18/teams/1039.png,€525K,€7K,1161,54,37,61,50,15,51,16,17,22,25,15,65,63,61,64,77,20,24,67,15,18,16,20,12,55,18,15,18,35,37,15,64,48,22,,,,,,230166,,,,,,,,,,,GK ,,,,,,,,,,,
7795,Lee Sang Ho,30,https://cdn.sofifa.org/48/18/players/176406.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,67,67,FC Seoul,https://cdn.sofifa.org/24/18/teams/982.png,€725K,€6K,1880,81,67,87,88,60,65,63,56,64,64,67,15,11,6,15,7,48,64,83,62,66,51,65,54,65,65,67,41,86,88,41,62,62,59,65.0,55.0,60.0,64.0,63.0,176406,65.0,61.0,55.0,63.0,60.0,64.0,66.0,63.0,66.0,63.0,RW RM ,65.0,61.0,55.0,63.0,60.0,64.0,66.0,63.0,66.0,63.0,63.0
7796,Carlos Delgado,27,https://cdn.sofifa.org/48/18/players/200727.png,Spain,https://cdn.sofifa.org/flags/45.png,67,69,Albacete Balompié,https://cdn.sofifa.org/24/18/teams/1854.png,€750K,€5K,1641,63,64,62,60,56,59,37,46,46,25,47,11,15,15,14,6,63,74,77,57,39,64,59,42,63,56,51,70,62,65,66,64,51,51,51.0,66.0,63.0,49.0,55.0,200727,51.0,62.0,66.0,55.0,63.0,49.0,51.0,49.0,49.0,60.0,CB ,51.0,62.0,66.0,55.0,63.0,49.0,51.0,49.0,49.0,60.0,49.0
7797,J. Jørgensen,28,https://cdn.sofifa.org/48/18/players/202263.png,Norway,https://cdn.sofifa.org/flags/36.png,67,68,Sarpsborg 08 FF,https://cdn.sofifa.org/24/18/teams/112199.png,€700K,€3K,1834,66,75,76,72,62,67,59,60,60,51,48,12,15,9,7,13,57,66,82,64,56,65,56,43,64,66,74,59,60,83,61,82,56,55,60.0,66.0,66.0,58.0,62.0,202263,60.0,64.0,66.0,62.0,66.0,58.0,61.0,59.0,59.0,65.0,CDM CM CB ,60.0,64.0,66.0,62.0,66.0,58.0,61.0,59.0,59.0,65.0,59.0
7798,Mailson,26,https://cdn.sofifa.org/48/18/players/224791.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,69,Jeju United FC,https://cdn.sofifa.org/24/18/teams/1478.png,€925K,€5K,1701,77,62,71,70,76,61,64,62,74,56,59,10,7,7,7,15,53,36,56,67,50,26,66,63,67,71,59,21,72,68,31,58,64,56,68.0,44.0,53.0,67.0,65.0,224791,68.0,51.0,44.0,65.0,53.0,67.0,69.0,63.0,68.0,54.0,CF ,68.0,51.0,44.0,65.0,53.0,67.0,69.0,63.0,68.0,54.0,63.0
7799,L. Varney,34,https://cdn.sofifa.org/48/18/players/163351.png,England,https://cdn.sofifa.org/flags/14.png,67,67,Burton Albion,https://cdn.sofifa.org/24/18/teams/15015.png,€400K,€8K,1771,75,64,76,72,62,60,65,53,62,65,42,16,9,8,14,13,74,33,91,61,66,33,61,64,66,62,68,35,63,70,44,71,59,54,63.0,52.0,53.0,64.0,60.0,163351,63.0,53.0,52.0,60.0,53.0,64.0,64.0,66.0,64.0,54.0,LM ST ,63.0,53.0,52.0,60.0,53.0,64.0,64.0,66.0,64.0,54.0,66.0
7800,M. Kenlock,20,https://cdn.sofifa.org/48/18/players/229911.png,England,https://cdn.sofifa.org/flags/14.png,67,78,Ipswich Town,https://cdn.sofifa.org/24/18/teams/94.png,€1.1M,€9K,1654,77,65,73,76,66,65,67,36,67,26,30,13,11,12,11,5,64,62,65,63,29,64,36,66,48,66,39,64,79,71,69,68,32,34,56.0,65.0,63.0,56.0,58.0,229911,56.0,66.0,65.0,58.0,63.0,56.0,62.0,54.0,59.0,66.0,LB ,56.0,66.0,65.0,58.0,63.0,56.0,62.0,54.0,59.0,66.0,54.0
7801,Mateus Tangil,29,https://cdn.sofifa.org/48/18/players/230167.png,Brazil,https://cdn.sofifa.org/flags/54.png,67,67,Sport Club do Recife,https://cdn.sofifa.org/24/18/teams/111057.png,€525K,€8K,1229,46,42,74,49,22,35,14,21,19,14,14,66,68,63,64,72,15,30,46,13,15,31,20,12,60,14,22,16,70,45,14,75,61,22,,,,,,230167,,,,,,,,,,,GK ,,,,,,,,,,,
7802,Hwang Jin Sung,33,https://cdn.sofifa.org/48/18/players/165911.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,67,67,Gangwon FC,https://cdn.sofifa.org/24/18/teams/112115.png,€450K,€5K,1821,69,33,63,76,70,56,68,73,69,70,72,9,9,14,8,8,52,54,74,67,66,56,69,73,68,73,70,27,71,60,29,65,70,66,70.0,50.0,57.0,70.0,66.0,165911,70.0,55.0,50.0,66.0,57.0,70.0,69.0,68.0,70.0,58.0,CM ,70.0,55.0,50.0,66.0,57.0,70.0,69.0,68.0,70.0,58.0,68.0
7803,H. Taniguchi,32,https://cdn.sofifa.org/48/18/players/180759.png,Japan,https://cdn.sofifa.org/flags/163.png,67,67,Sagan Tosu,https://cdn.sofifa.org/24/18/teams/113160.png,€450K,€4K,1810,56,71,68,61,69,60,54,55,62,63,60,12,8,11,14,6,64,61,78,64,56,67,54,58,60,67,66,63,58,60,65,69,65,65,63.0,66.0,65.0,63.0,64.0,180759,63.0,62.0,66.0,64.0,65.0,63.0,62.0,63.0,62.0,62.0,CB ,63.0,62.0,66.0,64.0,65.0,63.0,62.0,63.0,62.0,62.0,63.0
7804,C. Evans,26,https://cdn.sofifa.org/48/18/players/186135.png,Northern Ireland,https://cdn.sofifa.org/flags/35.png,67,68,Blackburn Rovers,https://cdn.sofifa.org/24/18/teams/3.png,€875K,€9K,1828,59,74,65,72,72,59,56,58,56,53,54,13,12,6,15,15,59,72,61,67,66,73,47,44,68,73,68,64,66,80,68,65,56,51,62.0,68.0,70.0,61.0,66.0,186135,62.0,68.0,68.0,66.0,70.0,61.0,62.0,60.0,61.0,68.0,CDM CM ,62.0,68.0,68.0,66.0,70.0,61.0,62.0,60.0,61.0,68.0,60.0
7805,K. Paal,20,https://cdn.sofifa.org/48/18/players/228120.png,Netherlands,https://cdn.sofifa.org/flags/34.png,67,76,PSV,https://cdn.sofifa.org/24/18/teams/247.png,€1M,€7K,1862,78,67,74,80,70,71,64,67,72,42,50,11,15,9,13,12,60,69,77,61,49,64,45,65,64,66,62,64,79,56,65,66,68,58,66.0,66.0,65.0,65.0,65.0,228120,66.0,66.0,66.0,65.0,65.0,65.0,67.0,62.0,66.0,66.0,LW CAM LB ,66.0,66.0,66.0,65.0,65.0,65.0,67.0,62.0,66.0,66.0,62.0
7806,Y. Yoshida,27,https://cdn.sofifa.org/48/18/players/232728.png,Japan,https://cdn.sofifa.org/flags/163.png,67,67,Sagan Tosu,https://cdn.sofifa.org/24/18/teams/113160.png,€625K,€4K,1679,74,60,78,88,64,35,67,58,65,22,31,14,9,12,8,11,53,63,78,50,35,61,30,49,65,65,47,65,71,70,70,60,62,24,59.0,63.0,63.0,56.0,60.0,232728,59.0,66.0,63.0,60.0,63.0,56.0,61.0,51.0,59.0,66.0,RB LB ,59.0,66.0,63.0,60.0,63.0,56.0,61.0,51.0,59.0,66.0,51.0
7807,M. Torrén,28,https://cdn.sofifa.org/48/18/players/176920.png,Argentina,https://cdn.sofifa.org/flags/52.png,67,68,Argentinos Juniors,https://cdn.sofifa.org/24/18/teams/111019.png,€700K,€7K,1697,72,48,66,67,51,52,39,60,53,39,50,13,15,9,16,11,67,67,84,55,51,71,35,49,57,56,53,67,73,73,68,76,47,39,53.0,66.0,61.0,53.0,55.0,176920,53.0,63.0,66.0,55.0,61.0,53.0,54.0,54.0,53.0,61.0,CB ,53.0,63.0,66.0,55.0,61.0,53.0,54.0,54.0,53.0,61.0,54.0
